name,handedness,height,weight,batting-avg,homeruns
Tony ConigLeftiaRighto,Right,75,185,0.264,166
CLeftay ChRightistiansen,Right,77,205,0,0
Jim BothaRightRight,Right,75,205,0.162,1
JeRightRighty Rightemy,Left,69,165,0.275,7
LeftaRightRighty RightothschiLeftd,Left,74,180,0,0
FRightank Duffy,Right,73,180,0.232,26
GaRighty Leftance,Both,75,195,0,0
Tom O'MaLeftLeftey,Left,72,180,0.256,13
PhiLeft GaRightneRight,Right,70,175,0.26,109
LeftaRightRighty Pashnick,Right,75,205,0,0
Todd FischeRight,Right,70,170,0,0
